timestamp,temperature,humidity,soil_moisture,soil_temp,soil_ec,soil_ph,npk_moisture,npk_temp,npk_ec,npk_ph,N,P,K,resistive_raw,resistive_voltage,resistive_moisture
2026-08-13 18:52:56,,,,,,,,,,,,,,671.00,3.28,86.80
2026-08-13 19:01:06,26.20,78.00,,,,,,,,,,,,684.00,3.34,89.00
2026-08-13 19:22:56,,,,,,,,,,,,,,688.00,3.36,89.70
2026-08-13 19:31:06,26.20,78.00,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 19:52:56,,,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 20:01:06,26.20,78.00,,,,,,,,,,,,685.00,3.35,89.20
2026-08-13 20:22:56,,,,,,,,,,,,,,666.00,3.26,86.00
2026-08-13 20:31:06,26.20,78.00,,,,,,,,,,,,666.00,3.26,86.00
2026-08-13 20:52:56,,,,,,,,,,,,,,683.00,3.34,88.80
2026-08-13 21:01:06,26.20,78.00,,,,,,,,,,,,677.00,3.31,87.80
2026-08-13 21:22:56,,,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 21:31:06,26.20,78.00,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 21:52:56,,,,,,,,,,,,,,675.00,3.30,87.50
2026-08-13 22:01:06,26.20,78.00,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 22:22:56,,,,,,,,,,,,,,686.00,3.35,89.30
2026-08-13 22:31:06,26.20,78.00,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 22:52:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 23:01:06,26.20,78.00,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 23:22:56,,,,,,,,,,,,,,667.00,3.26,86.20
2026-08-13 23:31:06,26.20,78.00,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 23:52:56,,,,,,,,,,,,,,675.00,3.30,87.50
